Korean,English,Japanese
때때무노,clobbopus,タタッコ
케오퍼스,grapploct,オトスパス
데인차,sinistea,ヤバチャ
포트데스,polteageist,ポットデス
몸지브림,hatenna,ミブリム
손지브림,hattrem,テブリム
브리무음,hatterene,ブリムオン
메롱꿍,impidimp,ベロバー
쏘겨모,morgrem,ギモー
오롱털,grimmsnarl,オーロンゲ
가로막구리,obstagoon,タチフサグマ
나이킹,perrserker,ニャイキング
산호르곤,cursola,サニゴーン
창파나이트,sirfetch'd,ネギガナイト
마임꽁꽁,mr. rime,バリコオル
데스판,runerigus,デスバーン
마빌크,milcery,マホミル
마휘핑,alcremie,マホイップ
대여르,falinks,タイレーツ
찌르성게,pincurchin,バチンウニ
누니머기,snom,ユキハミ
모스노우,frosmoth,モスノウ
돌헨진,stonjourner,イシヘンジン
빙큐보,eiscue,コオリッポ
에써르,indeedee,イエッサン
모르페코,morpeko,モルペコ
끼리동,cufant,ゾウドウ
대왕끼리동,copperajah,ダイオウドウ
파치래곤,dracozolt,パッチラゴン
파치르돈,arctozolt,パッチルドン
어래곤,dracovish,ウオノラゴン
어치르돈,arctovish,ウオチルドン
두랄루돈,duraludon,ジュラルドン
드라꼰,dreepy,ドラメシヤ
드래런치,drakloak,ドロンチ
드래펄트,dragapult,ドラパルト
자시안,zacian,ザシアン
자마젠타,zamazenta,ザマゼンタ
무한다이노,eternatus,ムゲンダイナ
치고마,kubfu,ダクマ
우라오스,urshifu,ウーラオス
자루도,zarude,ザルード
레지에레키,regieleki,レジエレキ
레지드래고,regidrago,レジドラゴ
블리자포스,glastrier,ブリザポス
레이스포스,spectrier,レイスポス
버드렉스,calyrex,バドレックス
신비록,wyrdeer,アヤシシ
사마자르,kleavor,バサギリ
다투곰,ursaluna,ガチグマ
대쓰여너,basculegion,イダイトウ
포푸니크,sneasler,オオニューラ
장침바루,overqwil,ハリーマン
러브로스,enamorus,ラブトロス
나오하,sprigatito,ニャオハ
나로테,floragato,ニャローテ
마스카나,meowscarada,マスカーニャ
뜨아거,fuecoco,ホゲータ
악뜨거,crocalor,アチゲータ
라우드본,skeledirge,ラウドボーン
꾸왁스,quaxly,クワッス
아꾸왁,quaxwell,ウェルカモ
웨이니발,quaquaval,ウェーニバル
맛보돈,lechonk,グルトン
퍼퓨돈,oinkologne,パフュートン
타랜툴라,tarountula,タマンチュラ
트래피더,spidops,ワナイダー
콩알뚜기,nymble,マメバッタ
엑스레그,lokix,エクスレッグ
빠모,pawmi,パモ
빠모트,pawmo,パモット
빠르모트,pawmot,パーモット
두리쥐,tandemaus,ワッカネズミ
파밀리쥐,maushold,イッカネズミ
쫀도기,fidough,パピモッチ
바우첼,dachsbun,バウッツェル
미니브,smoliv,ミニーブ
올리뇨,dolliv,オリーニョ
올리르바,arboliva,オリーヴァ
시비꼬,squawkabilly,イキリンコ
베베솔트,nacli,コジオ
스태솔트,naclstack,ジオヅム
콜로솔트,garganacl,キョジオーン
카르본,charcadet,カルボウ
카디나르마,armarouge,グレンアルマ
파라블레이즈,ceruledge,ソウブレイズ
빈나두,tadbulb,ズピカ
찌리배리,bellibolt,ハラバリー
찌리비,wattrel,カイデン
찌리비크,kilowattrel,タイカイデン
오라티프,maschiff,オラチフ
마피티프,mabosstiff,マフィティフ
땃쭈르,shroodle,シルシュルー
태깅구르,grafaiai,タギングル
그푸리,bramblin,アノクサ
공푸리,brambleghast,アノホラグサ
들눈해,toedscool,ノノクラゲ
육파리,toedscruel,リククラゲ
절벼게,klawf,ガケガニ
캡싸이,capsakid,カプサイジ
스코빌런,scovillain,スコヴィラン
구르데,rellor,シガロコ
베라카스,rabsca,ベラカス
하느라기,flittle,ヒラヒナ
클레스퍼트라,espathra,クエスパトラ
어리짱,tinkatink,カヌチャン
벼리짱,tinkatuff,ナカヌチャン
두드리짱,tinkaton,デカヌチャン
바다그다,wiglett,ウミディグダ
바닥트리오,wugtrio,ウミトリオ
떨구새,bombirdier,オトシドリ
맨돌핀,finizen,ナミイルカ
돌핀맨,palafin,イルカマン
부르롱,varoom,ブロロン
부르르룸,revavroom,ブロロローム
모토마,cyclizar,モトトカゲ
꿈트렁,orthworm,ミミズズ
초롱순,glimmet,キラーメ
킬라플로르,glimmora,キラフロル
망망이,greavard,ボチ
묘두기,houndstone,ハカドッグ
꼬이밍고,flamigo,カラミンゴ
터벅고래,cetoddle,アルクジラ
우락고래,cetitan,ハルクジラ
가비루사,veluza,ミガルーサ
어써러셔,dondozo,ヘイラッシャ
싸리용,tatsugiri,シャリタツ
저승갓숭,annihilape,コノヨザル
토오,clodsire,ドオー
키키링,farigiraf,リキキリン
노고고치,dudunsparce,ノココッチ
대도각참,kingambit,ドドゲザン
위대한엄니,great tusk,イダイナキバ
우렁찬꼬리,scream tail,サケブシッポ
사나운버섯,brute bonnet,アラブルタケ
날개치는머리,flutter mane,ハバタクカミ
땅을기는날개,slither wing,チヲハウハネ
모래털가죽,sandy shocks,スナノケガワ
무쇠바퀴,iron treads,テツノワダチ
무쇠보따리,iron bundle,テツノツツミ
무쇠손,iron hands,テツノカイナ
무쇠머리,iron jugulis,テツノコウベ
무쇠독나방,iron moth,テツノドクガ
무쇠가시,iron thorns,テツノイバラ
드니차,frigibax,セビエ
드니꽁,arctibax,セゴール
드닐레이브,baxcalibur,セグレイブ
모으령,gimmighoul,コレクレー
타부자고,gholdengo,サーフゴー
총지엔,wo-chien,チオンジェン
파오젠,chien-pao,パオジアン
딩루,ting-lu,ディンルー
위유이,chi-yu,イーユイ
고동치는달,roaring moon,トドロクツキ
무쇠무인,iron valiant,テツノブジン
코라이돈,koraidon,コライドン
미라이돈,miraidon,ミライドン
굽이치는물결,walking wake,ウネルミナモ
무쇠잎새,iron leaves,テツノイサハ
과미르,dipplin,カミッチュ
차데스,poltchageist,チャデス
그우린차,sinistcha,ヤバソチャ
조타구,okidogi,イイネイヌ
이야후,munkidori,マシマシラ
기로치,fezandipiti,キチキギス
오거폰,ogerpon,オーガポン
브리두라스,archaludon,ブリジュラス
과미드라,hydrapple,カミツオロチ
꿰뚫는화염,gouging fire,ウガツホムラ
날뛰는우레,raging bolt,タケルライコ
무쇠암석,iron boulder,テツノイワオ
무쇠감투,iron crown,テツノカシラ
테라파고스,terapagos,テラパゴス
복숭악동,pecharunt,モモワロウ
